CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
2022,9,85044090,11,161,SP,4,817700,51064,1472,246571,43502,200
2022,3,49059100,10,249,SP,4,817700,19,19,279,93,0
2022,11,85258929,11,160,RS,4,1017801,108,31,3525,664,0
2022,2,48195000,10,160,RJ,1,717600,1254,1254,1635,777,0
2022,10,73182200,10,361,SP,4,817600,200,200,6226,3037,43
2022,7,94059200,10,160,SP,1,817800,11478,11478,34936,3821,17
2022,6,70133700,10,160,SP,1,817800,9214,9214,19557,3950,9
2022,7,39269021,10,160,SC,1,927800,912,912,15672,497,44
2022,11,84339090,10,375,PR,1,917800,1800,1800,13081,576,15
2022,7,90173010,11,160,SP,1,817800,1072,1133,35951,1128,130
2022,3,85369010,11,767,SP,1,817800,12006,9,565,9,0
2022,2,84145910,11,160,SP,4,817600,17230,2264,76845,79889,78
2022,6,87089510,11,493,SP,4,817700,33,24,3784,1800,3
2022,4,87081000,11,160,RS,1,927800,730,799,6947,1749,17
2022,8,73269090,10,275,BA,1,517800,16,16,780,15,0
2022,6,90183929,11,493,SC,4,817600,159,109,3510,1401,0
2022,3,42050000,10,160,SP,1,817800,0,0,21,0,0
2022,4,34029090,10,160,SP,1,817800,476,476,9277,886,5
2022,1,84213990,11,160,AM,1,227600,599682,25891,281834,27732,108
2022,12,87082999,11,161,SC,4,817600,4,9,95,114,0
2022,3,73182900,10,23,AM,1,227600,460,460,15399,432,1
2022,3,28112230,10,160,AM,4,227700,96,96,51032,1959,17
2022,9,40091290,10,23,SP,1,817800,864,864,46175,77,16
2022,7,84212300,11,361,AM,1,927700,200,4,60,12,0
2022,8,85437099,11,249,MG,4,717700,2,2,4722,26,2
2022,2,84829119,10,23,SP,1,817800,6485,6485,106630,2441,38
2022,2,85319000,10,607,SP,4,817700,93,93,19179,436,4
2022,2,45049000,10,23,RS,1,817800,18,18,1045,4,0
2022,1,85334092,11,160,SP,4,817600,16200,9,1518,30,0
2022,10,84295212,11,275,SP,1,817800,2,5910,101545,1484,17
2022,11,84679900,10,23,PR,1,917800,883,883,24656,285,10
2022,6,85414111,11,767,SP,4,817600,4,2,313,86,1
2022,8,34029029,10,249,SP,1,817800,358564,358564,2654486,76409,737
2022,5,84131900,11,160,SP,4,817700,1,0,194,102,0
2022,3,38249979,10,386,SP,1,817800,19200,19200,94308,787,152
2022,4,76090000,10,361,SP,4,817600,0,0,20,5,0
2022,10,57024200,15,240,SC,1,927800,19054,29156,134352,7966,370
2022,5,48239099,10,858,AM,4,227700,10467,10467,81825,770041,133
2022,10,90259010,10,161,SP,1,817800,1,1,66,2,0
2022,7,39269030,10,275,SP,4,817700,17,17,1317,605,0
2022,12,85472090,10,361,SP,4,817700,26,26,1163,306,1
2022,1,84439923,10,160,RJ,1,817800,144,144,9619,69,0
2022,3,39199090,10,628,SP,4,817700,34,34,3287,1846,1
2022,2,62044900,11,160,SP,4,717700,1702,709,27636,2600,7
2022,11,39129020,10,249,SC,1,927800,14400,14400,169250,3329,413
2022,10,73079200,10,72,SP,1,817800,0,0,11,0,0
2022,1,73182900,10,355,SP,1,817800,2935,2935,55628,324,26
2022,4,84289090,11,249,MG,1,817800,1,48848,3086399,29499,2085
2022,3,35069190,10,160,SC,1,927800,142356,142356,269353,51681,41
2022,9,42029200,11,160,ES,1,717600,45399,16539,143212,22215,312
2022,10,20054000,10,399,SP,1,817800,64,64,165,86,0
2022,5,85016100,11,249,RS,4,817700,1,0,133,0,0
2022,1,31021010,10,97,GO,7,147600,1054000,1054000,908530,35858,82
2022,12,85399090,10,87,SP,4,817600,0,0,864,33,1
2022,6,84818092,11,72,SP,4,817600,20,7,2356,182,0
2022,8,85176277,11,741,MG,4,617700,35,83,43550,2563,354
2022,6,44039900,16,97,MS,7,147600,236,202400,9767,815,0
2022,11,84835090,11,386,SC,1,927800,10,7,217,12,0
2022,7,85423120,11,455,SP,4,817600,584879,168,489282,13171,379
2022,5,73182400,10,249,SP,4,817700,825,825,46135,7383,151
2022,12,39023000,10,245,SC,1,927800,74250,74250,137543,6663,68
2022,3,22042100,17,245,AL,1,417902,9684,9684,21061,2862,0
2022,10,84849000,10,190,SP,1,817800,414,414,18001,329,20
2022,12,85371020,11,767,SP,4,817600,21,52,92294,1191,183
2022,1,85176259,11,493,ES,4,817600,537,888,480481,15098,1531
2022,9,38229000,10,361,RO,4,817700,6,6,24119,101,49
2022,3,85232919,11,23,PR,4,917900,11,6,12,261,0
2022,3,55032090,10,160,SC,1,927700,59356,59356,72801,22239,57
2022,12,39191010,10,160,AM,4,227700,75,75,19715,1190,3
2022,12,76090000,10,764,PR,4,917900,2,2,733,1104,0
2022,7,48025799,10,160,SC,1,927700,15168,15168,21044,2985,0
2022,3,84213100,11,628,PR,1,917800,641,1583,17020,504,1
2022,5,90321090,11,23,SP,4,817700,574,81,28233,1445,17
2022,5,85364900,11,245,BA,4,817600,5,1,626,14,6
2022,6,82029990,10,160,PR,1,917800,3716,3716,29067,1227,12
2022,4,85365090,11,399,SP,1,817800,636304,38086,1148381,21380,1093
2022,6,31023000,10,676,SP,1,817800,15500000,15500000,9161348,1162125,3086
2022,11,40112090,11,160,RJ,1,817800,150,5272,11530,3463,0
2022,7,39199020,10,161,AM,4,227700,54,54,4622,1153,2
2022,9,84139190,10,249,SC,1,927800,2139,2139,28136,2662,4
2022,1,39269022,10,249,SP,4,817600,57,57,12342,1492,18
2022,10,84829119,10,87,SP,1,817800,0,0,0,0,0
2022,2,87083090,11,493,SP,4,817700,99,334,9391,2254,5
2022,2,85469000,10,249,RJ,4,817600,1,1,7588,65,0
2022,11,84828000,11,249,SP,4,817600,67,8,6908,445,2
2022,10,87085099,10,275,SP,4,817700,416,416,1830,2316,1
2022,4,90268000,11,249,SP,1,817800,22490,1171,311328,1320,61
2022,8,85235110,11,23,SP,4,817700,925,38,116731,378,117
2022,3,27101992,10,249,SP,1,817800,5377,5377,17457,2384,3
2022,5,69010000,10,232,SP,1,817800,192286,192286,146908,16020,56
2022,5,84041010,11,764,ES,1,717600,1,5186,496448,6158,173
2022,4,39173290,10,791,SP,4,817700,4500,4500,86079,42476,93
2022,12,85444200,10,160,PR,4,917900,758,758,33728,12013,28
2022,12,94054900,10,249,MG,1,817800,74,74,3362,73,1
2022,1,62029300,11,386,RS,4,817600,1,1,1638,17,0
2022,7,34029011,10,23,MG,1,817800,140,140,1838,39,6
2022,10,84829990,10,232,BA,4,517801,21,21,5990,217,12
2022,1,85119000,10,249,SP,1,817800,501,501,15326,485,9
2022,3,40169300,10,247,MG,4,817600,1,1,313,6,1
2022,8,84219999,10,493,SP,1,817800,39167,39167,476711,29514,85
2022,1,30049039,10,791,SP,1,817800,4328,4328,44151,4875,0
2022,8,85389090,10,386,SP,1,817800,35629,35629,554261,22352,236
2022,5,84818095,11,160,SP,1,817800,353588,134049,1548396,93067,1608
