CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2022,10,72044900,10,361,PR,1,917800,2186907,2186907,740539
2022,10,73269090,10,249,RJ,4,817700,28,28,341919
2022,12,84313900,10,239,SC,4,817700,4,4,391
2022,8,64029990,13,660,SC,1,1017700,996,551,14166
2022,5,62111100,11,245,RJ,4,717700,5,1,15
2022,8,84099912,11,845,PR,7,1017701,5,756,5458
2022,6,84195010,11,158,MG,7,1017500,1,2,169
2022,4,32141010,10,845,PR,7,1017701,60,60,321
2022,4,7094000,10,160,RS,1,1017700,2,2,2
2022,3,28042100,16,63,RS,7,1017500,13499,22350,21808
2022,10,33072090,10,351,MA,1,317903,0,0,7
2022,12,84798999,11,153,SP,4,817600,25,375,6525
2022,2,83016000,10,169,MG,4,817600,1,1,238
2022,1,3054910,10,77,PA,1,217800,5,5,70
2022,9,94041000,10,586,SC,7,917500,2318,2318,4108
2022,4,82152000,10,232,RS,4,817600,71,71,1975
2022,3,84219999,10,63,SP,7,1017503,40974,41017,605858
2022,3,94035000,11,845,RS,7,1017701,7356,352131,363103
2022,5,8043000,10,741,PR,1,917800,150,150,195
2022,1,84841000,10,239,PR,4,817600,0,0,33
2022,11,40103100,10,589,SP,1,817800,560,560,28400
2022,9,62046300,11,586,SC,7,917500,515,81,6573
2022,10,40169300,10,586,PR,7,917500,8773,182,9910
2022,6,64029990,13,196,RS,4,817600,1118,520,12039
2022,4,40161090,10,351,RS,1,1017700,1,1,15
2022,4,35079049,10,63,SP,7,1017500,12200,12200,71294
2022,10,85437099,11,589,SP,1,817800,53,6,1578
2022,6,87085099,10,63,SP,1,817800,54458,54458,316250
2022,7,59031000,10,249,SP,4,817600,113,113,7929
2022,11,3035300,10,580,PR,1,817800,20,20,46
2022,4,84212100,11,169,RS,4,817700,2,1,398
2022,11,9092100,10,434,MA,1,317903,5,5,19
2022,6,94034000,11,845,PR,7,1010351,25,653,631
2022,12,85411022,11,249,AM,4,817700,5000,14,1500
2022,12,4022130,10,434,ES,1,727600,5,5,19
2022,7,21039091,10,325,AP,0,240151,10,36,60
2022,11,30064012,10,589,PR,4,817600,394,394,6773
2022,10,70071100,11,63,SP,7,917500,3190,7436,16534
2022,7,85261000,11,23,SP,4,817700,1,3,5739
2022,1,84099929,11,361,SP,1,817800,1736,2912,36160
2022,12,64029990,13,80,RS,1,1017700,11460,3959,120254
2022,4,71162090,10,249,MG,4,817700,722,647,87425
2022,9,82011000,10,888,RS,1,917800,7811,7811,22661
2022,6,85389090,10,815,SC,4,817700,0,0,14
2022,7,73170090,10,63,RS,7,1017500,167021,167021,219876
2022,6,84314929,10,249,MG,4,817600,1865,1865,12451
2022,8,30049026,10,169,SP,4,817600,2179,2179,20992
2022,9,21032010,10,301,RJ,1,710251,14,14,52
2022,6,7096000,10,476,PA,1,217800,103,103,330
2022,3,84718000,11,169,RS,4,817700,6,2,359
2022,5,90328929,11,158,SP,4,817700,72,105,48216
2022,10,85044050,11,97,SC,4,817600,1,33,1191
2022,3,48025793,10,687,SP,1,817800,41427,41427,36247
2022,8,38089195,10,239,SP,1,817800,16153,16153,302546
2022,11,7101000,10,301,PR,1,917800,50,50,67
2022,4,84149039,10,169,SC,1,817800,136,136,6595
2022,3,69022010,10,586,SC,15,917500,40174,40238,9340
2022,4,85446000,10,580,SP,4,817700,93,93,1319
2022,11,68029390,10,687,ES,1,817800,26372,26372,9897
2022,3,87163900,11,97,RS,7,147600,6,47640,136611
2022,11,9011110,21,372,MG,1,817800,18,18000,74160
2022,11,3035400,10,476,PA,1,217800,60,60,228
2022,5,73269090,10,158,PR,4,817600,1,1,43
2022,10,87082100,11,239,SP,1,817800,19,14,896
2022,2,73072100,10,245,PR,4,817700,1400,24,1188
2022,10,70109090,10,586,PR,7,917500,376,376,2200
2022,10,12074090,10,827,MA,1,217800,89041,89041,119294
2022,9,69120000,10,580,SC,1,927700,34,34,77
2022,5,96091000,10,628,SP,1,817800,35476,35476,328171
2022,1,84119100,10,275,RJ,4,817600,67,67,21941
2022,1,61046200,11,245,SC,4,817700,19,3,126
2022,1,56074900,10,361,MG,4,817600,76,76,1279
2022,1,73151900,10,317,SP,1,817800,0,0,17
2022,5,62063000,11,40,SC,4,817600,5,0,42
2022,9,84819090,10,365,RJ,4,817600,1,1,596
2022,8,82084000,10,586,SC,7,917500,786,786,6849
2022,2,3048300,10,77,SC,1,927502,30,30,220
2022,4,7129090,10,301,MA,1,317903,51,51,121
2022,10,42010090,10,845,MG,7,1017701,119,119,790
2022,4,7104000,10,476,SP,1,917800,10,10,21
2022,7,84212300,11,365,SP,1,817800,572,434,15471
2022,8,38249929,10,239,SP,1,817800,6080,6080,17632
2022,3,20019000,10,607,SC,1,927502,6,6,43
2022,4,34029039,10,337,RR,7,260152,794,794,884
2022,1,68029390,10,493,ES,1,727600,567488,567488,306142
2022,3,84099999,10,158,SP,4,817700,361,361,43633
2022,2,28183000,10,589,MG,1,817800,52311,52311,20479
2022,1,7069000,10,434,RS,1,1017700,60,60,63
2022,2,40169990,10,158,SP,1,817800,423,423,5415
2022,5,87082991,11,149,SP,4,817700,2,4,64
2022,6,73269090,10,40,SP,4,817600,1,1,94
2022,2,35079042,10,647,SP,4,817700,470,470,12392
2022,7,90261029,11,239,SP,1,817800,2350,954,12797
2022,2,85045000,11,249,MG,4,817600,16,3014,53587
2022,3,64039990,13,845,RS,7,1010351,1271,755,9173
2022,12,22011000,17,476,SP,1,817800,45289,44805,13321
2022,10,2064900,10,40,PR,1,927800,2480,2480,3465
2022,9,16041310,10,580,ES,1,727600,89,89,824
2022,8,33059000,10,275,SP,4,817600,4875,4875,93479
2022,5,85014019,11,249,ES,1,927700,6444,103006,808220
